************************************************************************************************************
Task  0
************************************************************************************************************
0.1
| Epoch   5, time= 15.2s | Train: skip eval | Valid: time=  1.5s loss=1.511, TAw acc= 69.7% |
| Epoch   6, time= 15.5s | Train: skip eval | Valid: time=  1.5s loss=1.229, TAw acc= 76.1% |
| Epoch   7, time= 15.3s | Train: skip eval | Valid: time=  1.8s loss=1.374, TAw acc= 71.4% |
| Epoch   8, time= 15.6s | Train: skip eval | Valid: time=  1.8s loss=1.279, TAw acc= 75.4% |
| Epoch   9, time= 15.8s | Train: skip eval | Valid: time=  1.6s loss=0.976, TAw acc= 80.3% |
| Epoch  10, time= 15.3s | Train: skip eval | Valid: time=  1.8s loss=1.136, TAw acc= 78.9% |
| Epoch  11, time= 15.5s | Train: skip eval | Valid: time=  1.7s loss=1.249, TAw acc= 76.1% |
| Epoch  12, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.771, TAw acc= 71.6% |
| Epoch  13, time= 15.6s | Train: skip eval | Valid: time=  1.3s loss=1.111, TAw acc= 80.7% |
| Epoch  14, time= 15.6s | Train: skip eval | Valid: time=  1.8s loss=1.270, TAw acc= 77.1% |
| Epoch  15, time= 15.6s | Train: skip eval | Valid: time=  1.5s loss=0.927, TAw acc= 82.0% |
| Epoch  16, time= 15.4s | Train: skip eval | Valid: time=  1.5s loss=1.109, TAw acc= 82.5% |
| Epoch  17, time= 15.4s | Train: skip eval | Valid: time=  1.7s loss=0.971, TAw acc= 82.0% |
| Epoch  18, time= 15.3s | Train: skip eval | Valid: time=  1.8s loss=0.993, TAw acc= 84.0% |
| Epoch  19, time= 15.5s | Train: skip eval | Valid: time=  1.6s loss=1.039, TAw acc= 82.3% |
| Epoch  20, time= 15.4s | Train: skip eval | Valid: time=  1.5s loss=0.924, TAw acc= 81.2% |
| Epoch  21, time= 15.1s | Train: skip eval | Valid: time=  1.6s loss=0.988, TAw acc= 79.4% |
| Epoch  22, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=0.924, TAw acc= 84.0% |
| Epoch  23, time= 15.3s | Train: skip eval | Valid: time=  1.4s loss=0.948, TAw acc= 83.9% |
| Epoch  24, time= 15.4s | Train: skip eval | Valid: time=  1.7s loss=1.136, TAw acc= 82.5% |
| Epoch  25, time= 15.5s | Train: skip eval | Valid: time=  1.6s loss=1.111, TAw acc= 81.0% |
| Epoch  26, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.078, TAw acc= 81.9% |
| Epoch  27, time= 15.5s | Train: skip eval | Valid: time=  1.9s loss=1.218, TAw acc= 81.7% |
| Epoch  28, time= 15.7s | Train: skip eval | Valid: time=  1.6s loss=1.111, TAw acc= 82.9% |
| Epoch  29, time= 15.7s | Train: skip eval | Valid: time=  1.9s loss=0.970, TAw acc= 82.5% |
| Epoch  30, time= 15.3s | Train: skip eval | Valid: time=  1.7s loss=0.976, TAw acc= 81.5% |
| Epoch  31, time= 15.5s | Train: skip eval | Valid: time=  1.9s loss=1.032, TAw acc= 83.2% |
| Epoch  32, time= 15.4s | Train: skip eval | Valid: time=  1.7s loss=0.917, TAw acc= 83.9% |
| Epoch  33, time= 15.2s | Train: skip eval | Valid: time=  1.5s loss=1.054, TAw acc= 82.3% |
| Epoch  34, time= 15.4s | Train: skip eval | Valid: time=  1.8s loss=1.045, TAw acc= 82.6% |
| Epoch  35, time= 15.7s | Train: skip eval | Valid: time=  1.8s loss=1.090, TAw acc= 80.9% |
| Epoch  36, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.114, TAw acc= 83.5% |
| Epoch  37, time= 15.3s | Train: skip eval | Valid: time=  1.7s loss=1.007, TAw acc= 83.5% |
| Epoch  38, time= 15.8s | Train: skip eval | Valid: time=  1.8s loss=0.993, TAw acc= 82.8% |
| Epoch  39, time= 15.5s | Train: skip eval | Valid: time=  1.7s loss=1.118, TAw acc= 80.9% |
| Epoch  40, time= 15.4s | Train: skip eval | Valid: time=  1.7s loss=1.250, TAw acc= 82.6% |
| Epoch  41, time= 15.5s | Train: skip eval | Valid: time=  1.6s loss=1.207, TAw acc= 83.9% |
| Epoch  42, time= 15.6s | Train: skip eval | Valid: time=  1.6s loss=1.040, TAw acc= 83.2% |
| Epoch  43, time= 15.6s | Train: skip eval | Valid: time=  1.8s loss=1.258, TAw acc= 81.3% |
| Epoch  44, time= 15.5s | Train: skip eval | Valid: time=  1.5s loss=0.983, TAw acc= 84.3% |
| Epoch  45, time= 15.5s | Train: skip eval | Valid: time=  1.7s loss=0.985, TAw acc= 84.1% |
| Epoch  46, time= 15.7s | Train: skip eval | Valid: time=  1.5s loss=1.185, TAw acc= 81.8% |
| Epoch  47, time= 15.4s | Train: skip eval | Valid: time=  1.6s loss=1.092, TAw acc= 84.0% |
| Epoch  48, time= 15.7s | Train: skip eval | Valid: time=  1.7s loss=1.000, TAw acc= 82.0% |
